tas,"	Year", Month, Country, ISO3, ISO2
26.8325,1939,9,BRB,,
26.7325,1939,10,BRB,,
26.5988,1939,11,BRB,,
26.1988,1939,12,BRB,,
25.6325,1940,1,BRB,,
25.1662,1940,2,BRB,,
25.6662,1940,3,BRB,,
26.6325,1940,4,BRB,,
27.4313,1940,5,BRB,,
26.7651,1940,6,BRB,,
26.3651,1940,7,BRB,,
26.7651,1940,8,BRB,,
26.9988,1940,9,BRB,,
27.1325,1940,10,BRB,,
26.7988,1940,11,BRB,,
25.5662,1940,12,BRB,,
25.2662,1941,1,BRB,,
25.8325,1941,2,BRB,,
26.1662,1941,3,BRB,,
26.6325,1941,4,BRB,,
27.2651,1941,5,BRB,,
26.5313,1941,6,BRB,,
26.2651,1941,7,BRB,,
26.7651,1941,8,BRB,,
26.7988,1941,9,BRB,,
27.0325,1941,10,BRB,,
26.4988,1941,11,BRB,,
25.7325,1941,12,BRB,,
25.4662,1942,1,BRB,,
25.6662,1942,2,BRB,,
25.8662,1942,3,BRB,,
26.4325,1942,4,BRB,,
27.0651,1942,5,BRB,,
27.0313,1942,6,BRB,,
26.2651,1942,7,BRB,,
26.4651,1942,8,BRB,,
26.7988,1942,9,BRB,,
27.0325,1942,10,BRB,,
26.5988,1942,11,BRB,,
25.6325,1942,12,BRB,,
25.0662,1943,1,BRB,,
25.1325,1943,2,BRB,,
24.7662,1943,3,BRB,,
25.8325,1943,4,BRB,,
25.9651,1943,5,BRB,,
26.2313,1943,6,BRB,,
26.2651,1943,7,BRB,,
26.2651,1943,8,BRB,,
26.8988,1943,9,BRB,,
26.8325,1943,10,BRB,,
26.1988,1943,11,BRB,,
25.4325,1943,12,BRB,,
24.9662,1944,1,BRB,,
24.9662,1944,2,BRB,,
25.1662,1944,3,BRB,,
25.8325,1944,4,BRB,,
26.3651,1944,5,BRB,,
26.1313,1944,6,BRB,,
26.3651,1944,7,BRB,,
26.9651,1944,8,BRB,,
26.7988,1944,9,BRB,,
26.9325,1944,10,BRB,,
26.5988,1944,11,BRB,,
25.6325,1944,12,BRB,,
24.7662,1945,1,BRB,,
24.5662,1945,2,BRB,,
24.9662,1945,3,BRB,,
25.1325,1945,4,BRB,,
26.2651,1945,5,BRB,,
26.4313,1945,6,BRB,,
26.4651,1945,7,BRB,,
26.5651,1945,8,BRB,,
26.7988,1945,9,BRB,,
26.3325,1945,10,BRB,,
26.0988,1945,11,BRB,,
25.4325,1945,12,BRB,,
24.6662,1946,1,BRB,,
24.2999,1946,2,BRB,,
24.7662,1946,3,BRB,,
25.3325,1946,4,BRB,,
25.6988,1946,5,BRB,,
25.9651,1946,6,BRB,,
26.1651,1946,7,BRB,,
26.6651,1946,8,BRB,,
26.7988,1946,9,BRB,,
27.0325,1946,10,BRB,,
26.7988,1946,11,BRB,,
25.8325,1946,12,BRB,,
24.5662,1947,1,BRB,,
25.2662,1947,2,BRB,,
25.5662,1947,3,BRB,,
25.6325,1947,4,BRB,,
26.3651,1947,5,BRB,,
26.6313,1947,6,BRB,,
26.2651,1947,7,BRB,,
26.7651,1947,8,BRB,,
27.0988,1947,9,BRB,,
27.3325,1947,10,BRB,,
26.7325,1947,11,BRB,,
25.8662,1947,12,BRB,,
25.3662,1948,1,BRB,,
25.1662,1948,2,BRB,,
25.1662,1948,3,BRB,,
25.6662,1948,4,BRB,,
27.3651,1948,5,BRB,,
26.9313,1948,6,BRB,,
26.2988,1948,7,BRB,,
26.5651,1948,8,BRB,,
26.7988,1948,9,BRB,,
26.8325,1948,10,BRB,,
26.3988,1948,11,BRB,,
25.4325,1948,12,BRB,,
24.5,1949,1,BRB,,
24.4,1949,2,BRB,,
25.1662,1949,3,BRB,,
25.7325,1949,4,BRB,,
26.7651,1949,5,BRB,,
26.4651,1949,6,BRB,,
26.2651,1949,7,BRB,,
27.2651,1949,8,BRB,,
27.0651,1949,9,BRB,,
26.7325,1949,10,BRB,,
26.3988,1949,11,BRB,,
25.3325,1949,12,BRB,,
24.2662,1950,1,BRB,,
24.8662,1950,2,BRB,,
